,var_name,lr_importance,rf_importance
83,onehotencoder__Model_A-Star Lxi,5885.554218010977,1.9700860568110159e-07
84,onehotencoder__Model_A-Star Vxi,6464.001247458946,1.9670139086057555e-05
85,onehotencoder__Model_A-Star Zxi,2.444721758365631e-09,0.0
86,onehotencoder__Model_A3 35 TDI Premium Plus,4.190951585769653e-09,0.0
87,onehotencoder__Model_A3 40 TFSI Premium,351001.97884341545,0.00032549370730620866
88,onehotencoder__Model_A4 1.8 TFSI,1012825.4544916226,8.251181531671657e-06
89,onehotencoder__Model_A4 2.0 TDI,541278.5834274923,4.4988764565605776e-05
90,onehotencoder__Model_A4 2.0 TDI 177 Bhp Premium Plus,868259.7768421539,1.2524548866080214e-05
91,onehotencoder__Model_A4 35 TDI Premium Plus,447646.1261678011,8.421145080823362e-05
92,onehotencoder__Model_A6 2.0 TDI,86946.54263706325,0.00010683450412349738
93,onehotencoder__Model_A6 2.0 TDI  Design Edition,408979.78115420265,6.4567104596151664e-06
94,onehotencoder__Model_A6 2.0 TDI Premium Plus,55855.29523299812,1.2453011896186004e-05
95,onehotencoder__Model_A6 2.0 TDI Technology,315382.5810408836,7.663158600603072e-06
96,onehotencoder__Model_A6 35 TFSI Matrix,2610478.086086022,0.016070708853425243
97,onehotencoder__Model_Accent CRDi,92814.80881261623,1.1856447910851072e-06
98,onehotencoder__Model_Accent DLS,37369.65390176172,4.821629750928981e-07
99,onehotencoder__Model_Accent Executive,102928.41988407256,1.8522420132849256e-05
100,onehotencoder__Model_Accent Executive CNG,55828.42170291582,2.3058014604580744e-09
101,onehotencoder__Model_Accent Executive LPG,42814.552856569775,5.367965775310285e-08
102,onehotencoder__Model_Accent GLE,20211.493215621827,2.457399816118175e-06
103,onehotencoder__Model_Accent GLE CNG,81107.92017117591,8.154359235182446e-08
104,onehotencoder__Model_Accent GLS,42164.7892818324,4.833510034368371e-07
105,onehotencoder__Model_Accent GLS 1.6,1.979060471057892e-09,0.0
106,onehotencoder__Model_Accent GLS 1.6 ABS,50138.29805634625,3.1072466221608847e-07
107,onehotencoder__Model_Accent GLX,120515.08244968054,1.6983439810386133e-07
108,onehotencoder__Model_Accent VIVA CRDi,8502.749370160484,1.7561080845208119e-06
109,onehotencoder__Model_Accord 2.4 A/T,152892.64021647873,7.403146806130584e-07
110,onehotencoder__Model_Accord 2.4 AT,158287.89245302294,1.4712138141313546e-06
111,onehotencoder__Model_Accord 2.4 M/T,237265.21747154772,6.745909522804163e-07
112,onehotencoder__Model_Accord 2.4 MT,17192.19200982315,4.777730484772972e-07
113,onehotencoder__Model_Accord V6 AT,132937.90107124834,1.586475463535993e-06
114,onehotencoder__Model_Accord VTi-L MT,50615.646035657745,5.053431306034789e-07
115,onehotencoder__Model_Alto 800 Base,213490.4127221777,6.140516242082611e-06
116,onehotencoder__Model_Alto 800 CNG LXI,141970.297720039,2.254078999405703e-07
117,onehotencoder__Model_Alto 800 CNG LXI Optional,229705.98085315496,1.4698898190256917e-07
118,onehotencoder__Model_Alto 800 LX,153372.1564772822,8.607910078730912e-07
119,onehotencoder__Model_Alto 800 LX Optional,3.54702933691442e-11,0.0
120,onehotencoder__Model_Alto 800 LXI,160073.06580611845,1.3083287960259731e-05
121,onehotencoder__Model_Alto 800 LXI Airbag,142409.13263503063,8.705262892068591e-08
122,onehotencoder__Model_Alto 800 LXI Anniversary Edition,126744.98375072322,8.025171318194176e-08
123,onehotencoder__Model_Alto 800 LXI BSIV,193560.2797975607,2.397146786619676e-07
124,onehotencoder__Model_Alto 800 LXI CNG,178441.10027417948,8.462314758567342e-08
125,onehotencoder__Model_Alto 800 LXI Optional,183587.55079143625,8.852101582442064e-07
126,onehotencoder__Model_Alto 800 VXI,178854.3747044394,8.872343713944333e-06
127,onehotencoder__Model_Alto 800 VXI BSIV,162539.81097480204,6.059384182345597e-08
128,onehotencoder__Model_Alto 800 VXI Optional,166733.53898629983,7.183106194719383e-07
129,onehotencoder__Model_Alto 800 VXI Plus,200063.82713854616,2.3448428808481458e-07
130,onehotencoder__Model_Alto AX,278827.93444088433,1.184470725955282e-10
131,onehotencoder__Model_Alto Green LXi (CNG),28848.326564110263,5.699048110902244e-07
132,onehotencoder__Model_Alto K10 2010-2014 VXI,66107.0362006058,1.5028963034902533e-05
133,onehotencoder__Model_Alto K10 Knightracer,73140.20974915122,1.7081010003888595e-06
134,onehotencoder__Model_Alto K10 LX,126095.03433819456,3.52593379768303e-08
135,onehotencoder__Model_Alto K10 LXI,118507.84435658841,4.0698018892841854e-06
136,onehotencoder__Model_Alto K10 LXI CNG,150157.79526077386,1.9267806934101012e-06
137,onehotencoder__Model_Alto K10 VXI,146458.75196162646,5.760993552756158e-06
138,onehotencoder__Model_Alto K10 VXI AGS,426635.15550292697,1.363924665166667e-06
139,onehotencoder__Model_Alto K10 VXI AGS Optional,434484.24450083025,1.2649144029086337e-06
140,onehotencoder__Model_Alto K10 VXI Airbag,144514.26901384542,2.497472623258717e-06
141,onehotencoder__Model_Alto K10 VXI Optional,154119.22237829716,3.429507899180422e-07
142,onehotencoder__Model_Alto LX,9582.04786561575,5.712061242409899e-06
143,onehotencoder__Model_Alto LX BSIII,4211.958699569077,1.5674995518649074e-06
144,onehotencoder__Model_Alto LXI,84560.44355100865,2.2132114288708597e-07
